,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
0,-0.4226183,-0.4043667,0.03728085,0.047741264,0.22429183,0.10862185,-0.025110167,0.24707796,-0.09889448,-0.4311114,-0.23093492,0.11956563,-0.3311699,-0.07271136,-0.252218,-0.08597708,-0.050427936,-0.48535863,-0.30216837,-0.2336896,-0.12890461,-0.51458126,-0.33973104,-0.1349421,-0.09336906,-0.35945898,-0.31506363,-0.2800254,0.13538285,-0.12911913,-0.1770194,-0.11916441
1,-0.10681684,-0.2320564,-0.008377563,-0.14523958,0.06327474,0.2020569,0.20990872,0.14107269,-0.24460097,-0.18683024,-0.3009367,0.3252897,-0.0760511,0.045402087,-0.29513994,-0.029404253,0.1491591,-0.43963555,-0.055840205,-0.16874345,-0.024828674,-0.2420715,-0.088236764,-0.15387037,-0.16560456,-0.27089792,-0.26199493,-0.1632463,-0.032337755,-0.13448802,0.069627054,0.057986356
2,-0.041825693,-0.08250281,0.054160755,-0.25002968,-0.10429431,0.13381766,0.3141422,-0.024416383,-0.28162107,-0.055250783,-0.15075557,0.42947057,0.1506976,0.019057827,-0.24371395,-0.052755367,0.19903366,-0.29054973,0.15439992,-0.09274674,-0.09108809,-0.0030615088,-0.01949125,-0.12467106,-0.03304192,-0.16458397,-0.11340645,-0.05817562,-0.05050493,-0.008584897,0.16535483,0.19466531
3,0.012283827,0.13316491,0.17173201,-0.26668072,-0.17421949,0.119679086,0.2994914,-0.16653515,-0.056622736,0.16329108,0.03719852,0.5368942,0.24435383,-0.023294803,-0.08422089,0.044139203,0.14089423,-0.31054473,0.1169259,-0.05952249,-0.010048105,0.08166673,0.012594806,-0.15923718,0.042317986,-0.15268695,0.020787235,-0.006203704,0.073891915,0.14229359,0.08877678,0.086977765
4,0.03462197,0.14856102,0.21489403,0.060787834,-0.22349542,0.11274598,0.27495056,-0.2788587,-0.010157955,0.1340305,0.12689745,0.3698627,0.25300637,-0.16022964,0.07009709,-0.008128012,0.044525664,-0.2487705,0.1971538,0.0996303,-0.13292854,0.23835924,-0.10684637,-0.23828913,0.11948313,-0.18827689,0.19868219,-0.032605674,0.10647199,0.24142462,0.027629348,-0.021387324
5,0.0820438,0.16665877,0.2642199,0.2943621,-0.21051548,0.20607315,0.15690836,-0.1833508,0.16518846,0.14291395,0.24301942,0.1665598,0.24378096,-0.21581055,0.17692797,0.05242723,-0.01264838,-0.105611496,0.0076404014,0.19850855,-0.14756028,0.23458548,-0.083848916,-0.20951334,0.02865394,-0.16029249,0.25130486,-0.08425031,0.08423898,0.28111124,-0.11440381,-0.1742185
6,0.03144126,0.038315844,0.29199803,0.41904277,-0.17621787,0.2938318,0.0108786365,-0.0034096264,0.09755774,-0.016034193,0.18286006,-0.0794487,0.004742421,-0.13484721,0.16054401,0.02634409,0.1554742,-0.018809948,-0.012387229,0.1556264,-0.3060393,0.26609606,0.074900106,-0.27955773,0.05437166,-0.29599968,0.07677763,-0.11661971,0.029861573,0.26425502,-0.09150716,-0.16301586
7,-0.068663165,-0.009684351,0.29672474,0.25894278,-0.20302583,0.23500724,-0.18957883,0.017215788,0.124886796,-0.018306414,0.17936979,-0.2742287,-0.052494157,-0.22036444,0.17926459,0.042496793,0.21551831,0.15351759,-0.24295741,0.05215079,-0.28964436,0.25807047,0.058542315,-0.24862331,0.116175234,-0.15151893,0.005673184,-0.1659108,0.058276344,0.2244995,0.016641764,-0.27186936
8,-0.16650783,0.10037865,0.29736337,0.20675728,-0.10062439,0.15533142,-0.4330086,0.06603379,0.20638508,0.06783228,0.104155,-0.3430449,0.057765324,-0.18580127,0.32517916,0.0037881383,0.17774321,0.16320607,-0.24259584,-0.03031479,-0.15041855,0.08324871,0.06556664,-0.0716441,0.26705393,-0.11728167,0.009645006,-0.03759789,0.13380916,0.22842272,0.08911036,-0.45865977
9,-0.2836095,0.056694444,0.085738,0.25008175,-0.027364891,-0.0027816773,-0.32457578,0.12304136,0.20187043,-0.015113455,-0.06914748,-0.22947527,0.019486431,0.04604102,0.17630996,-0.035183467,0.16377242,0.25831184,-0.044915587,0.041750986,-0.100524165,-0.12063773,-0.03351179,-0.015758036,0.3626489,-6.28017e-05,-0.14166757,-0.033097014,0.087982684,0.1553446,0.19456273,-0.41040647
10,-0.26031116,0.052073643,-0.16262767,0.381325,0.10805669,-0.014537193,-0.17088433,0.19172646,0.13993649,0.06043493,-0.13150337,-0.09370926,0.06396948,0.07062786,0.1429116,-0.09039206,0.14353843,0.3383536,-0.00096011796,0.014163019,-0.06428728,-0.15198305,0.025820818,-0.026350837,0.38330454,-0.08994486,-0.18739685,0.01995721,0.17458971,0.111062266,0.24966434,-0.19771332
11,-0.20278451,-0.016697766,-0.05104029,0.21474607,0.016426245,-0.1934432,0.1595966,0.0012108139,0.13964935,-0.10002949,-0.2079981,-0.012206753,-0.08861931,-0.04533478,0.040002033,-0.069405384,0.018035693,0.15524104,0.0796645,-0.16365731,0.07906648,-0.01795028,0.06367983,0.07780634,0.1453463,-0.11704318,-0.17541811,0.12790723,0.24628599,-0.12630384,0.13644968,-0.16288231
